model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M5_clinical,0.21,0.061232534711576386,0.05391791861942097,0.0,69,193,289
M5_clinical,0.22,0.051370774554165555,0.041788661165823776,0.0,69,192,289
M5_clinical,0.23,0.04134274030467802,0.029344358064081227,0.0,69,191,289
M5_clinical,0.24,0.03004917137133492,0.016572573301766508,0.0,69,191,289
M5_clinical,0.25,0.019607843137254916,0.003460207612456745,0.0,69,190,289
M5_clinical,0.26,0.005517628354998583,-0.01000654633872633,0.0,68,189,289
M5_clinical,0.27,-0.004029008863819544,-0.02384225245295546,0.0,68,187,289
M5_clinical,0.28,-0.016339869281045805,-0.038062283737024305,0.0,68,187,289
M5_clinical,0.29,-0.027584190262683383,-0.05268287928261617,0.0,68,186,289
M5_clinical,0.3,-0.0405338606030648,-0.06772120612951066,0.0,68,186,289
M5_clinical,0.31,-0.05074971164936565,-0.08319542650819928,0.0,68,184,289
M5_clinical,0.32,-0.06289436189700798,-0.09912477101567274,0.0,67,181,289
M5_clinical,0.33,-0.06641532820327434,-0.11552961834426495,0.0,67,175,289
M5_clinical,0.34,-0.07297892418999691,-0.132431582258572,0.0,67,171,289
M5_clinical,0.35,-0.08490817141336171,-0.14985360660101144,0.0,67,170,289
M5_clinical,0.36,-0.09083044982698962,-0.16782006920415227,0.0,66,164,289
M5_clinical,0.37,-0.11182512220574509,-0.1863568956994563,0.0,64,164,289
M5_clinical,0.38,-0.11362875320906352,-0.2054916843397701,0.0,64,158,289
M5_clinical,0.39,-0.11923535084236198,-0.22525384309943847,0.0,64,154,289
M5_clinical,0.4,-0.12456747404844293,-0.24567474048442917,0.0,64,150,289
M5_clinical,0.41,-0.13682481965867094,-0.26678787167908025,0.0,64,149,289
